V,errV,I,errI
4,0.1,0.00911,0.00016665
3.6,0.1,0.00895,0.00016425
3.2,0.1,0.00881,0.00016215
2.8,0.1,0.00862,0.0001593
2.4,0.1,0.00851,0.00015765
2,0.05,0.00834,0.0001551
1.8,0.05,0.00830,0.0001539
1.6,0.05,0.00825,0.00015375
1.4,0.05,0.00815,0.00015225
1.2,0.05,0.00813,0.00015195
1,0.02,0.00809,0.00015015
0.9,0.02,0.00805,0.00015075
0.8,0.02,0.00802,0.0001503
0.7,0.02,0.00795,0.00014925
0.6,0.02,0.00787,0.00014805
0.5,0.02,0.00778,0.0001467
0.4,0.02,0.0077,0.0001455
0.3,0.02,0.00753,0.00014295
0.2,0.02,0.00652,0.0001278
0.1,0.02,0.00195,0.00005925
0,0.02,0.00004,0.0000306
